event_id,id,name,match_id,season,competition,team,player,statsbomb_xg,loc_x,loc_y,loc_z,follows_dribble,first_time,open_net,deflected,technique_id,technique_name,body_id,body_name,outcome_id,outcome_name
f2947cda-1641-4afa-a0ee-0975dcad4478,16,Shot,3749642,2003/2004,Premier League,Arsenal,Fredrik Ljungberg,0.07287833,118.1,42.2,1.6,False,False,False,False,93,Normal,38,Left Foot,100,Saved
52e07a88-19a2-4af4-b6f2-de683c476ce4,16,Shot,3773631,2020/2021,La Liga,Real Betis,Sergio Canales Madrazo,0.041051574,98.5,45.7,,False,False,False,False,93,Normal,38,Left Foot,96,Blocked
a4dca1e4-56c0-42aa-b4c7-35b0876dc3d5,16,Shot,3773665,2020/2021,La Liga,Osasuna,Jonathan Calleri,0.12096324,115.8,33.2,,False,True,False,False,95,Volley,40,Right Foot,96,Blocked
277b452e-b66b-40ac-8fcd-01859ce41d75,16,Shot,303532,2019/2020,La Liga,Barcelona,Clément Lenglet,0.057523634,120.0,73.6,0.2,False,False,False,False,93,Normal,37,Head,98,Off T
a532ec75-35e6-45c8-b082-9692cc6ebcd0,16,Shot,303680,2019/2020,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,0.022596503,95.6,47.3,,False,False,False,False,93,Normal,38,Left Foot,96,Blocked
e576946a-0590-452f-a09f-ce6584843fce,16,Shot,3764661,2020/2021,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,0.15395764,120.0,36.1,1.2,False,True,False,False,93,Normal,38,Left Foot,99,Post
a8a0246a-ee8b-459e-a620-77e8c59e6010,16,Shot,3749276,2003/2004,Premier League,Chelsea,William Gallas,0.16154984,120.0,44.8,0.9,False,True,False,False,95,Volley,40,Right Foot,98,Off T
f319f311-ce3b-4393-86d3-8ab72966f1a7,16,Shot,16190,2018/2019,La Liga,Sevilla,Simon Thorup Kjær,0.164776,120.0,44.2,5.4,False,False,False,False,93,Normal,37,Head,98,Off T
41b36f64-8dd5-4580-be7d-e3daad4dcf16,16,Shot,3773497,2020/2021,La Liga,Real Madrid,Lucas Vázquez Iglesias,0.15830496,114.9,42.3,0.5,False,True,False,False,91,Half Volley,40,Right Foot,100,Saved
7b8f6087-50b6-4370-b243-1fa7637c2df0,16,Shot,3749642,2003/2004,Premier League,Arsenal,Dennis Bergkamp,0.08415017,120.0,40.5,4.8,False,False,False,False,93,Normal,40,Right Foot,98,Off T
72a5ff24-440e-406e-a40a-d0c4fb574509,16,Shot,3773477,2020/2021,La Liga,Real Betis,William Silva de Carvalho,0.0655744,119.4,38.9,2.2,False,False,False,False,93,Normal,37,Head,100,Saved
1c78c693-fe63-42b9-8508-8fb3e44562e2,16,Shot,15986,2018/2019,La Liga,Girona,Bernardo José Espinosa Zúñiga,0.04248853,118.6,38.8,1.2,False,False,False,False,93,Normal,37,Head,100,Saved
03fd3cc8-49ce-4286-b2d7-b47bbb7a2018,16,Shot,303696,2019/2020,La Liga,Atlético Madrid,Marcos Llorente Moreno,0.08930641,110.6,34.0,,False,True,False,False,93,Normal,38,Left Foot,96,Blocked
405e32fe-fcab-4728-900a-828b3a0badc0,16,Shot,3749522,2003/2004,Premier League,Arsenal,Dennis Bergkamp,0.081988454,117.0,35.0,0.2,False,False,False,False,93,Normal,40,Right Foot,100,Saved
6ab94982-c96e-42ad-9d14-5a351ccf5959,16,Shot,303615,2019/2020,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,0.009762889,115.1,47.2,,False,False,False,False,93,Normal,38,Left Foot,96,Blocked
83f59127-1f02-46e2-b1d8-8661f3e5975d,16,Shot,303377,2019/2020,La Liga,Getafe,Ángel Luis Rodríguez Díaz,0.08669959,120.0,43.6,0.9,False,True,False,False,95,Volley,40,Right Foot,97,Goal
af6003a6-68de-489c-8160-a9f8e17d323b,16,Shot,3773631,2020/2021,La Liga,Barcelona,Martin Braithwaite Christensen,0.060599968,120.0,37.6,5.1,False,False,False,False,93,Normal,37,Head,98,Off T
2b46a8ff-473c-4b97-b003-af3c14794cc4,16,Shot,16275,2018/2019,La Liga,Barcelona,Luis Alberto Suárez Díaz,0.20362423,114.1,35.7,0.1,False,False,False,False,93,Normal,38,Left Foot,100,Saved
f28b867d-fb12-42e6-b654-43df1537ea99,16,Shot,16023,2018/2019,La Liga,Valencia,Daniel Parejo Muñoz,0.009358378,120.0,49.1,1.2,False,False,False,False,91,Half Volley,40,Right Foot,98,Off T
