event_id,id,name,match_id,season,competition,team,player,defensive,advantage,penalty
687e4d2e-ce8d-4e48-809a-158717eab043,21,Foul Won,3773403,2020/2021,La Liga,Barcelona,Samuel Yves Umtiti,False,False,False
85039b2f-ad59-438c-942b-7e823e40a0e6,21,Foul Won,303504,2019/2020,La Liga,Levante UD,José Luis Morales Nogales,False,False,False
9c1f74f8-38eb-43a8-aeeb-f36626d76083,21,Foul Won,16248,2018/2019,La Liga,Barcelona,Philippe Coutinho Correia,False,True,False
c03e88b0-b4bf-4cf8-805d-f7d94bd5d85b,21,Foul Won,16095,2018/2019,La Liga,Barcelona,Ousmane Dembélé,False,False,False
679ceb8b-f325-4d25-91de-0fc508d00533,21,Foul Won,3773661,2020/2021,La Liga,Barcelona,Jordi Alba Ramos,False,False,False
13101f47-0341-4ad3-aff4-bc624215c79c,21,Foul Won,16205,2018/2019,La Liga,Barcelona,Luis Alberto Suárez Díaz,False,False,False
89a2f55e-b3dc-40c5-922f-c2bbd734c0a5,21,Foul Won,3749274,2003/2004,Premier League,Arsenal,Ray Parlour,False,False,False
b98f6a50-9b4d-49de-a524-671831c9bbe3,21,Foul Won,303400,2019/2020,La Liga,Valencia,Rubén Sobrino Pozuelo,False,False,False
709439b9-b017-4420-8510-b65727c84217,21,Foul Won,3749133,2003/2004,Premier League,Arsenal,Fredrik Ljungberg,False,False,False
4ffddc51-18f1-4706-852d-be32395f8cc3,21,Foul Won,303451,2019/2020,La Liga,Mallorca,Aleix Febas Pérez,False,False,False
3dd2cccf-b02e-4d35-859d-ac7b624cdc32,21,Foul Won,3773571,2020/2021,La Liga,Barcelona,Pedro González López,False,False,False
4b417eec-0dc7-4a44-9471-5579267f757f,21,Foul Won,3773372,2020/2021,La Liga,Barcelona,Moriba Kourouma Kourouma,False,False,False
bc30fd6f-3987-4249-8a97-5fa121f33b1e,21,Foul Won,303524,2019/2020,La Liga,Atlético Madrid,Álvaro Borja Morata Martín,False,False,False
e02cbf3a-7564-43f3-9572-310d120b6e22,21,Foul Won,3749246,2003/2004,Premier League,Arsenal,Robert Pirès,False,True,False
960c4fd0-bc14-4fd6-ab95-97b89238a8a3,21,Foul Won,3749276,2003/2004,Premier League,Chelsea,"Gérémi Sorele N""Djitap Fotso",True,False,False
0cde31e6-b310-41ab-a8b0-23d99d97550d,21,Foul Won,3773387,2020/2021,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,False,False
62656369-6a16-4d5d-b826-ddce03d40ca2,21,Foul Won,3749117,2003/2004,Premier League,Arsenal,Nwankwo Christian Kanu,False,True,False
f1a84ed7-67a6-4f46-99a3-eef6843ac4a2,21,Foul Won,3773672,2020/2021,La Liga,Barcelona,Francisco António Machado Mota de Castro Trincão,False,False,False
05e147e7-d3f3-412b-948e-eb9fa87e800d,21,Foul Won,303377,2019/2020,La Liga,Getafe,Oghenekaro Etebo,False,False,False
78bde10c-6dcf-4655-a9a2-46b9c587583b,21,Foul Won,3749052,2003/2004,Premier League,Wolverhampton Wanderers,Denis Irwin,True,False,False
bb506a8c-91ab-4d27-81d6-12439979273f,21,Foul Won,16149,2018/2019,La Liga,Barcelona,Luis Alberto Suárez Díaz,False,False,False
44482c80-d89d-45fa-b6b2-c789f917fb32,21,Foul Won,303600,2019/2020,La Liga,Real Valladolid,Sergio Guardiola Navarro,False,False,False
83f1cf77-25f2-42ba-bb81-28d6d3e934c2,21,Foul Won,16265,2018/2019,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,False,False
45ddf551-baf1-40de-a56c-b498c2037064,21,Foul Won,3749246,2003/2004,Premier League,Arsenal,Eduardo César Daude Gaspar,False,True,False
1d69ce72-db80-40df-a60b-8bd63f6e16fc,21,Foul Won,303532,2019/2020,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,False,False
