event_id,id,name,match_id,season,competition,team,player,pos_id,pos_name,technique_id,technique_name,body_id,body_name,outcome_id,outcome_name
d08c2c62-4ff8-487e-8dda-8ee80d593235,23,Goal Keeper,16029,2018/2019,La Liga,Sevilla,Tomáš Vaclík,44,Set,,,,,,
0b634c17-3749-40de-89ab-fc0cb3e90760,23,Goal Keeper,3764440,2020/2021,La Liga,Barcelona,Marc-André ter Stegen,44,Set,,,,,,
ebfcd510-64b1-49b2-904b-7db74c85813d,23,Goal Keeper,3749274,2003/2004,Premier League,Portsmouth,Shaka Hislop,,,,,40,Right Foot,48,Clear
7589a568-ecf7-49be-a74f-41c0db7f91bb,23,Goal Keeper,3773387,2020/2021,La Liga,Barcelona,Marc-André ter Stegen,44,Set,,,,,,
bc3b9287-419c-4f27-a6dd-7c137c4fe433,23,Goal Keeper,15998,2018/2019,La Liga,Leganés,Iván Cuéllar Sacristán,44,Set,,,,,,
ef4ae47b-403a-476b-adc9-6925c35d234c,23,Goal Keeper,3749454,2003/2004,Premier League,Arsenal,Jens Lehmann,44,Set,45,Diving,35,Both Hands,53,In Play Safe
f550b79b-2d7c-4ad7-ba58-774f3c5a36df,23,Goal Keeper,303682,2019/2020,La Liga,Barcelona,Marc-André ter Stegen,44,Set,46,Standing,35,Both Hands,56,Saved Twice
954e6e7a-77bf-46e3-82d4-97bfe4c2d49b,23,Goal Keeper,3773547,2020/2021,La Liga,Osasuna,Sergio Herrera Pirón,44,Set,45,Diving,35,Both Hands,59,Touched Out
12c488af-d011-4db1-aee9-4797cda439d2,23,Goal Keeper,15998,2018/2019,La Liga,Leganés,Iván Cuéllar Sacristán,44,Set,46,Standing,35,Both Hands,15,Success
a1e8c61e-ff11-4fc9-90d8-f0979c2be8ea,23,Goal Keeper,16215,2018/2019,La Liga,Barcelona,Marc-André ter Stegen,44,Set,45,Diving,,,55,No Touch
639317a2-3675-4126-a98c-c4a96b524af6,23,Goal Keeper,16289,2018/2019,La Liga,Levante UD,Aitor Fernández Abarisketa,44,Set,,,,,,
5d939fd4-91ab-4198-88a6-6aba074da4a1,23,Goal Keeper,3749192,2003/2004,Premier League,Fulham,Edwin van der Sar,44,Set,,,,,,
e1da1570-e915-4c30-b8af-43b2ee25b717,23,Goal Keeper,3749257,2003/2004,Premier League,Arsenal,Jens Lehmann,,,,,,,15,Success
df41605a-034c-4d6c-a758-ceeef5eaacb4,23,Goal Keeper,16029,2018/2019,La Liga,Barcelona,Marc-André ter Stegen,44,Set,,,,,,
774ba251-b7f6-49a1-b6c4-75366f1febe2,23,Goal Keeper,3749631,2003/2004,Premier League,Southampton,Antti Mikko Niemi,44,Set,,,,,,
da43919c-bf18-4a96-9a56-0dcbedd012a9,23,Goal Keeper,303504,2019/2020,La Liga,Levante UD,Aitor Fernández Abarisketa,44,Set,46,Standing,35,Both Hands,15,Success
2760388d-d55f-46d0-8cab-66291d63d2fb,23,Goal Keeper,3773457,2020/2021,La Liga,Celta Vigo,Iván Villar Martínez,44,Set,,,,,,
74ac4a72-51b0-4732-a51a-abc917d0da26,23,Goal Keeper,3749133,2003/2004,Premier League,Aston Villa,Thomas Løvendahl Sørensen,44,Set,46,Standing,35,Both Hands,56,Saved Twice
