event_id,id,name,match_id,season,competition,team,player,subbed_name,outcome_id,outcome_name
44807b18-0279-4ee6-a6c4-91b5e3bbd6ac,19,Substitution,3749253,2003/2004,Premier League,Liverpool,Vladimir Smicer,Anthony Le Tallec,103,Tactical
7881be45-5473-412b-b6f9-4ff7d8ab5cf0,19,Substitution,3773571,2020/2021,La Liga,Barcelona,Ronald Federico Araújo da Silva,Samuel Yves Umtiti,103,Tactical
26b18726-34b2-4d9b-b94c-8d13819b9a1e,19,Substitution,3749346,2003/2004,Premier League,Arsenal,Dennis Bergkamp,Jérémie Aliadière,103,Tactical
40d47e80-bdb5-4f2a-a6ce-567334fd3f6b,19,Substitution,303400,2019/2020,La Liga,Barcelona,Frenkie de Jong,Ivan Rakitić,103,Tactical
e5ec0fe1-5683-4efa-aa47-509a76dac34b,19,Substitution,3764440,2020/2021,La Liga,Elche,Pere Milla Peña,Juan Francisco Martínez Modesto,103,Tactical
7710ddcd-c3e4-4900-9035-322d5e74420a,19,Substitution,3773387,2020/2021,La Liga,Levante UD,José Luis Morales Nogales,Giorgi Kochorashvili,103,Tactical
802c7bef-5935-4771-8b9d-372d94c3c5b2,19,Substitution,3773571,2020/2021,La Liga,Barcelona,Frenkie de Jong,Sergio Busquets i Burgos,103,Tactical
2eb31c71-5e46-4532-90f6-cb84e2d67ad2,19,Substitution,303400,2019/2020,La Liga,Barcelona,Anssumane Fati,Álex Collado Gutiérrez,103,Tactical
d7d34f2c-0a00-4d3c-a0c8-5b91f261bbcb,19,Substitution,15946,2018/2019,La Liga,Barcelona,Nélson Cabral Semedo,Philippe Coutinho Correia,103,Tactical
40ce3b2e-bb7d-47a8-bba4-cf84a8e6d339,19,Substitution,16023,2018/2019,La Liga,Valencia,Gonçalo Manuel Ganchinho Guedes,Denis Cheryshev,102,Injury
b70eb625-6ef5-452f-8667-5fc1b9bad213,19,Substitution,3773571,2020/2021,La Liga,Barcelona,Jordi Alba Ramos,Héctor Junior Firpo Adames,103,Tactical
a7db85df-7611-4107-af00-560f22f969e1,19,Substitution,3773474,2020/2021,La Liga,Real Valladolid,Kenan Kodro,Waldo Rubio Martín,103,Tactical
0fd73b2c-9e16-4eef-b644-e7ba88b969af,19,Substitution,3773631,2020/2021,La Liga,Real Betis,Paul Edgar Akouokou,Guido Rodríguez,103,Tactical
56af5b9b-9982-4d7d-963f-b3339b98c538,19,Substitution,16317,2018/2019,La Liga,Barcelona,Malcom Filipe Silva de Oliveira,Carles Pérez Sayol,103,Tactical
9ab4b57c-4567-427c-95bf-b88f23a7f39c,19,Substitution,303487,2019/2020,La Liga,Celta Vigo,Pape Cheikh Diop Gueye,Gabriel Matías Fernández Leites,103,Tactical
b5ed57cb-c5bf-41a4-b80d-0ff5f91dbc85,19,Substitution,16248,2018/2019,La Liga,Barcelona,Philippe Coutinho Correia,Carles Aleña Castillo,103,Tactical
37f03fd4-a108-4c8b-90fb-0746d335e8d1,19,Substitution,3773631,2020/2021,La Liga,Real Betis,Juan Miguel Jiménez López,Cristian Tello Herrera,103,Tactical
90f621a0-3b77-48d1-af57-c01c44ad6432,19,Substitution,303666,2019/2020,La Liga,Granada,Yangel Clemente Herrera Ravelo,Maxime Gonalons,103,Tactical
ce079a3b-2225-4165-862e-774d11bad5b8,19,Substitution,3749528,2003/2004,Premier League,Arsenal,Patrick Vieira,Eduardo César Daude Gaspar,102,Injury
58b5234a-62c1-4e92-a1f3-249c5245ceb4,19,Substitution,3749434,2003/2004,Premier League,Birmingham City,Aliou Cissé,Stern John,103,Tactical
f4340977-a4a9-463d-8381-9007d37b46ad,19,Substitution,16317,2018/2019,La Liga,Eibar,Iván Ramis Barrios,Sergio Álvarez Díaz,103,Tactical
48cc5d54-2bb9-42f4-b8bf-b01868b27454,19,Substitution,303664,2019/2020,La Liga,Real Sociedad,Alexander Isak,Willian José da Silva,103,Tactical
